@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,
@ID,8480,,,,,,,,
@SHEET,1,TRENDGET,,,,,,,
@DATE,2019/12/25,16:08,,,,,,,
@Group Number,Pen Number,Acquisition Data,Span Change,Low limit,High limit,Data type,Hourly,Daily,Monthly
1,1,1MKV10CT101A.PV,0,,,Default,1,1,1
1,2,1MKV10CT101B.PV,0,,,Default,1,1,1
1,3,1MKV10CT102A.PV,0,,,Default,1,1,1
1,4,1MKV10CT102B.PV,0,,,Default,1,1,1
2,1,YPAC71CP104.PV,0,,,Default,1,1,1
2,2,YPAC71CP105.PV,0,,,Default,1,1,1
2,3,YPAC71CT103.PV,0,,,Default,1,1,1
2,4,YPAC71CT104.PV,0,,,Default,1,1,1
2,5,YPAC71CT105.PV,0,,,Default,1,1,1
2,6,YPAB71CT101.PV,0,,,Default,1,1,1
2,7,YPAB71CT102.PV,0,,,Default,1,1,1
2,8,YPAB71CF101.PV,0,,,Default,1,1,1
3,1,YPAC71CL101.PV,0,,,Default,1,1,1
3,2,YPAC71CL102.PV,0,,,Default,1,1,1
3,3,YPAB71CP101.PV,0,,,Default,1,1,1
3,4,YPAB71CP102.PV,0,,,Default,1,1,1
4,1,YGCK31CF101.PV,0,,,Default,1,1,1
4,2,YGCK32CQ103.PV,0,,,Default,1,1,1
4,3,YGCK32CP101.PV,0,,,Default,1,1,1
4,4,YGCK32CP102.PV,0,,,Default,1,1,1
4,5,YGCK32CQ101.PV,0,,,Default,1,1,1
4,6,YGCK32CQ102.PV,0,,,Default,1,1,1
5,1,YGCB10CL101,0,,,Default,1,1,1
5,2,YGCB10CL102,0,,,Default,1,1,1
5,3,YGCK10CL101,0,,,Default,1,1,1
5,4,YGCK10CL102,0,,,Default,1,1,1
5,5,YGCK20CL101,0,,,Default,1,1,1
5,6,YGCK20CL102,0,,,Default,1,1,1
5,7,YGCK30CL101,0,,,Default,1,1,1
5,8,YGCK30CL102,0,,,Default,1,1,1
